Statistical profiling result from isolate-0xedfe647d540-v8.log, (113727 ticks, 6288 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   2266    2.0%          /usr/bin/node
     93    0.1%          /usr/lib/libuv.so.1.0.0
     27    0.0%          [vdso]
      1    0.0%          /usr/lib/libm-2.29.so

 [JavaScript]:
   ticks  total  nonlib   name
   8684    7.6%    7.8%  Builtin: LoadIC
   4574    4.0%    4.1%  LazyCompile: *update /home/john/Projects/Torn.Space/app.js:3412:16
   4226    3.7%    3.8%  Builtin: ForInFilter
   2440    2.1%    2.2%  Builtin: KeyedLoadIC_Megamorphic
   1550    1.4%    1.4%  Builtin: StoreIC
   1538    1.4%    1.4%  LazyCompile: *Player.self.botPlay /home/john/Projects/Torn.Space/app.js:727:25
   1307    1.1%    1.2%  Builtin: Call_ReceiverIsNotNullOrUndefined
   1260    1.1%    1.1%  LazyCompile: *Bullet.self.move /home/john/Projects/Torn.Space/app.js:1695:22
   1258    1.1%    1.1%  Builtin: KeyedLoadIC
    787    0.7%    0.7%  LazyCompile: *Asteroid.self.tick /home/john/Projects/Torn.Space/app.js:1912:22
    648    0.6%    0.6%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
    510    0.4%    0.5%  Builtin: LoadICTrampoline
    440    0.4%    0.4%  Builtin: GetProperty
    348    0.3%    0.3%  Builtin: KeyedLoadICTrampoline
    325    0.3%    0.3%  LazyCompile: *Player.self.move /home/john/Projects/Torn.Space/app.js:525:22
    319    0.3%    0.3%  Builtin: InterpreterEntryTrampoline
    318    0.3%    0.3%  LazyCompile: *Asteroid.self.move /home/john/Projects/Torn.Space/app.js:1938:22
    264    0.2%    0.2%  LazyCompile: *Base.self.move /home/john/Projects/Torn.Space/app.js:2076:22
    257    0.2%    0.2%  LazyCompile: *Player.self.tick /home/john/Projects/Torn.Space/app.js:308:22
    222    0.2%    0.2%  LazyCompile: ~update /home/john/Projects/Torn.Space/app.js:3412:16
    198    0.2%    0.2%  Builtin: CallFunction_ReceiverIsAny
    180    0.2%    0.2%  Builtin: Equal
    179    0.2%    0.2%  LazyCompile: *Player.self.shootBeam /home/john/Projects/Torn.Space/app.js:1081:27
    162    0.1%    0.1%  Builtin: RecordWrite
    161    0.1%    0.1%  Builtin: Call_ReceiverIsAny
    138    0.1%    0.1%  Builtin: ForInEnumerate
    107    0.1%    0.1%  Builtin: GrowFastSmiOrObjectElements
    105    0.1%    0.1%  LazyCompile: *Socket.emit /home/john/Projects/Torn.Space/node_modules/socket.io/lib/socket.js:140:33
     98    0.1%    0.1%  Builtin: GreaterThan
     94    0.1%    0.1%  Builtin: CEntry_Return1_DontSaveFPRegs_ArgvOnStack_NoBuiltinExit
     90    0.1%    0.1%  Builtin: ArrayPrototypePush
