Statistical profiling result from isolate-0x2c25004c000-v8.log, (5086 ticks, 69 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    255    5.0%          /usr/bin/node
      5    0.1%          /usr/lib/libuv.so.1.0.0
      1    0.0%          [vdso]
      1    0.0%          /usr/lib/libicuuc.so.64.2

 [JavaScript]:
   ticks  total  nonlib   name
    224    4.4%    4.6%  Builtin: LoadIC
    130    2.6%    2.7%  LazyCompile: ~update /home/john/Projects/Torn.Space/app.js:3412:16
    113    2.2%    2.3%  Builtin: ForInFilter
     92    1.8%    1.9%  LazyCompile: *update /home/john/Projects/Torn.Space/app.js:3412:16
     84    1.7%    1.7%  Builtin: StoreIC
     79    1.6%    1.6%  Builtin: InterpreterEntryTrampoline
     59    1.2%    1.2%  Builtin: KeyedLoadIC_Megamorphic
     54    1.1%    1.1%  Builtin: KeyedLoadIC
     43    0.8%    0.9%  Builtin: Call_ReceiverIsAny
     30    0.6%    0.6%  Builtin: CallFunction_ReceiverIsAny
     29    0.6%    0.6%  LazyCompile: *Asteroid.self.tick /home/john/Projects/Torn.Space/app.js:1912:22
     29    0.6%    0.6%  Builtin: GetProperty
     27    0.5%    0.6%  LazyCompile: *Bullet.self.move /home/john/Projects/Torn.Space/app.js:1695:22
     26    0.5%    0.5%  LazyCompile: ~Player.self.tick /home/john/Projects/Torn.Space/app.js:308:22
     25    0.5%    0.5%  LazyCompile: *Player.self.move /home/john/Projects/Torn.Space/app.js:525:22
     25    0.5%    0.5%  LazyCompile: *Player.self.botPlay /home/john/Projects/Torn.Space/app.js:727:25
     25    0.5%    0.5%  Builtin: Call_ReceiverIsNotNullOrUndefined
     21    0.4%    0.4%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     20    0.4%    0.4%  Builtin: ArrayPrototypePush
     19    0.4%    0.4%  LazyCompile: *hasBinary /home/john/Projects/Torn.Space/node_modules/has-binary2/index.js:30:20
     18    0.4%    0.4%  LazyCompile: *Asteroid.self.move /home/john/Projects/Torn.Space/app.js:1938:22
     17    0.3%    0.4%  LazyCompile: ~Player.self.botPlay /home/john/Projects/Torn.Space/app.js:727:25
     15    0.3%    0.3%  Builtin: LoadIC_Noninlined
     13    0.3%    0.3%  LazyCompile: ~Player.self.testSectorChange /home/john/Projects/Torn.Space/app.js:609:34
     13    0.3%    0.3%  LazyCompile: ~Asteroid.self.tick /home/john/Projects/Torn.Space/app.js:1912:22
     12    0.2%    0.2%  Builtin: MathRandom
     11    0.2%    0.2%  LazyCompile: ~listOnTimeout internal/timers.js:484:25
     11    0.2%    0.2%  Builtin: LoadICTrampoline
     11    0.2%    0.2%  Builtin: KeyedLoadICTrampoline
     10    0.2%    0.2%  LazyCompile: ~Vortex.self.move /home/john/Projects/Torn.Space/app.js:2219:22
     10    0.2%    0.2%  LazyCompile: ~Player.self.move /home/john/Projects/Torn.Space/app.js:525:22
      8    0.2%    0.2%  LazyCompile: ~readableAddChunk _stream_readable.js:239:26
      8    0.2%    0.2%  LazyCompile: ~Player.self.testAfk /home/john/Projects/Torn.Space/app.js:1469:25
      8    0.2%    0.2%  LazyCompile: *Player.self.tick /home/john/Projects/Torn.Space/app.js:308:22
      7    0.1%    0.1%  LazyCompile: ~writeOrBuffer _stream_writable.js:365:23
      7    0.1%    0.1%  LazyCompile: ~onwrite _stream_writable.js:450:17
      7    0.1%    0.1%  LazyCompile: *Base.self.move /home/john/Projects/Torn.Space/app.js:2076:22
      7    0.1%    0.1%  Builtin: RecordWrite
      7    0.1%    0.1%  Builtin: KeyedStoreIC
      7    0.1%    0.1%  Builtin: ForInEnumerate {1}
      6    0.1%    0.1%  LazyCompile: ~send /home/john/Projects/Torn.Space/node_modules/ws/lib/websocket.js:315:7
      6    0.1%    0.1%  LazyCompile: ~processCallback zlib.js:486:25
      6    0.1%    0.1%  LazyCompile: ~frame /home/john/Projects/Torn.Space/node_modules/ws/lib/sender.js:45:15
      6    0.1%    0.1%  LazyCompile: ~Writable.write _stream_writable.js:273:36
      6    0.1%    0.1%  LazyCompile: ~Socket.emit /home/john/Projects/Torn.Space/node_modules/socket.io/lib/socket.js:140:33
      6    0.1%    0.1%  LazyCompile: ~Bullet.self.move /home/john/Projects/Torn.Space/app.js:1695:22
      6    0.1%    0.1%  LazyCompile: ~Base.self.move /home/john/Projects/Torn.Space/app.js:2076:22
      6    0.1%    0.1%  LazyCompile: *Base.self.tick /home/john/Projects/Torn.Space/app.js:2051:22
      6    0.1%    0.1%  Builtin: Call_ReceiverIsNullOrUndefined
      6    0.1%    0.1%  Builtin: ArgumentsAdaptorTrampoline
      5    0.1%    0.1%  LazyCompile: ~send /home/john/Projects/Torn.Space/node_modules/engine.io/lib/transports/websocket.js:97:17
      5    0.1%    0.1%  LazyCompile: ~handleWriteReq internal/stream_base_commons.js:24:24
      5    0.1%    0.1%  LazyCompile: ~emit events.js:143:44
      5    0.1%    0.1%  LazyCompile: ~Socket.flush /home/john/Projects/Torn.Space/node_modules/engine.io/lib/socket.js:416:35
      5    0.1%    0.1%  LazyCompile: ~Player.self.updatePolars /home/john/Projects/Torn.Space/app.js:1455:30
      5    0.1%    0.1%  LazyCompile: ~Bullet.self.tick /home/john/Projects/Torn.Space/app.js:1676:22
      5    0.1%    0.1%  Builtin: ObjectPrototypeHasOwnProperty
      5    0.1%    0.1%  Builtin: Equal
      5    0.1%    0.1%  Builtin: Construct {1}
      5    0.1%    0.1%  Builtin: CEntry_Return1_DontSaveFPRegs_ArgvOnStack_NoBuiltinExit
      4    0.1%    0.1%  LazyCompile: ~popAsyncIds internal/async_hooks.js:396:21
      4    0.1%    0.1%  LazyCompile: ~perMessageDeflate.compress /home/john/Projects/Torn.Space/node_modules/ws/lib/sender.js:349:51
      4    0.1%    0.1%  LazyCompile: ~list.filter /home/john/Projects/Torn.Space/node_modules/bad-words/lib/badwords.js:32:15
      4    0.1%    0.1%  LazyCompile: ~fromString buffer.js:325:20
      4    0.1%    0.1%  LazyCompile: ~encodeAsString /home/john/Projects/Torn.Space/node_modules/socket.io-parser/index.js:147:24
      4    0.1%    0.1%  LazyCompile: ~clearBuffer _stream_writable.js:500:21
      4    0.1%    0.1%  LazyCompile: ~args internal/util.js:396:10
      4    0.1%    0.1%  LazyCompile: ~allocate buffer.js:310:18
      4    0.1%    0.1%  LazyCompile: ~_deflate.flush /home/john/Projects/Torn.Space/node_modules/ws/lib/permessage-deflate.js:435:44
      4    0.1%    0.1%  LazyCompile: ~Transform._write _stream_transform.js:165:38
      4    0.1%    0.1%  LazyCompile: ~Transform._read _stream_transform.js:182:37
      4    0.1%    0.1%  LazyCompile: ~Planet.self.tick /home/john/Projects/Torn.Space/app.js:2015:22
      3    0.1%    0.1%  LazyCompile: ~validateAsyncId internal/async_hooks.js:112:25
      3    0.1%    0.1%  LazyCompile: ~updateQuestsR /home/john/Projects/Torn.Space/app.js:3116:23
      3    0.1%    0.1%  LazyCompile: ~updateHeatmap /home/john/Projects/Torn.Space/app.js:3630:23
      3    0.1%    0.1%  LazyCompile: ~spawnBot /home/john/Projects/Torn.Space/app.js:3272:18
      3    0.1%    0.1%  LazyCompile: ~send /home/john/Projects/Torn.Space/node_modules/ws/lib/sender.js:267:7
      3    0.1%    0.1%  LazyCompile: ~pushAsyncIds internal/async_hooks.js:383:22
      3    0.1%    0.1%  LazyCompile: ~processTicksAndRejections internal/process/task_queues.js:59:35
      3    0.1%    0.1%  LazyCompile: ~processChunk zlib.js:466:22
      3    0.1%    0.1%  LazyCompile: ~exports.encodePacket /home/john/Projects/Torn.Space/node_modules/engine.io-parser/lib/index.js:53:33
      3    0.1%    0.1%  LazyCompile: ~emitAfterScript internal/async_hooks.js:348:25
      3    0.1%    0.1%  LazyCompile: ~concat /home/john/Projects/Torn.Space/node_modules/ws/lib/buffer-util.js:11:16
      3    0.1%    0.1%  LazyCompile: ~byteLength buffer.js:499:20
      3    0.1%    0.1%  LazyCompile: ~ZlibBase.flush zlib.js:324:36
      3    0.1%    0.1%  LazyCompile: ~Socket.sendPacket /home/john/Projects/Torn.Space/node_modules/engine.io/lib/socket.js:380:40
      3    0.1%    0.1%  LazyCompile: ~Socket._writeGeneric net.js:698:42
      3    0.1%    0.1%  LazyCompile: ~FastBuffer internal/buffer.js:788:1
      3    0.1%    0.1%  LazyCompile: ~Client.packet /home/john/Projects/Torn.Space/node_modules/socket.io/lib/client.js:162:35
      3    0.1%    0.1%  LazyCompile: ~Asteroid.self.move /home/john/Projects/Torn.Space/app.js:1938:22
